epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.35650086402893066,0.8062493801116943,4.373480319976807,0.5533668994903564,0.14039981365203857,0.4252285659313202,0.8681017756462097,1.7194575071334839,0.6959960460662842,0.21819308400154114
1,0.4981403946876526,0.8996065855026245,1.508790135383606,0.7372898459434509,0.2854098975658417,0.5079807639122009,0.902068555355072,1.493485689163208,0.7088404893875122,0.3429412543773651
2,0.5844956040382385,0.9325928092002869,1.2400058507919312,0.7743843197822571,0.40078258514404297,0.525646984577179,0.9064285159111023,1.469287633895874,0.6756283044815063,0.35828298330307007
3,0.6461336016654968,0.9515404105186462,1.052823781967163,0.7978035807609558,0.49252286553382874,0.534635066986084,0.9098441004753113,1.468007206916809,0.6767495274543762,0.40911203622817993
4,0.6932047009468079,0.9646985530853271,0.8962050676345825,0.8209848999977112,0.5683790445327759,0.5233224630355835,0.9019989371299744,1.584204077720642,0.6479847431182861,0.4210444688796997
5,0.7383000254631042,0.9739020466804504,0.763295590877533,0.8422774076461792,0.6384627223014832,0.5412986278533936,0.9013054966926575,1.6568305492401123,0.6327341198921204,0.46908414363861084
6,0.7744847536087036,0.9805557131767273,0.6536389589309692,0.8600864410400391,0.6937471032142639,0.5276615619659424,0.8914778232574463,1.8738683462142944,0.594427227973938,0.47605764865875244
7,0.8060591816902161,0.9854881763458252,0.5597569942474365,0.8700991272926331,0.741128146648407,0.534325122833252,0.882635235786438,2.065443754196167,0.5858641862869263,0.4932589530944824
8,0.8300402760505676,0.9886857271194458,0.488886296749115,0.883216142654419,0.7787850499153137,0.5402138829231262,0.8799140453338623,2.2143654823303223,0.5802096128463745,0.5061211585998535
9,0.8530141115188599,0.991334855556488,0.4201904237270355,0.8956625461578369,0.8128002285957336,0.5282813906669617,0.8675246834754944,2.459829807281494,0.5671405792236328,0.5006973743438721
