epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7127177119255066,0.9589633345603943,0.9856674075126648,0.8379940390586853,0.6045498847961426,0.7245523929595947,0.9636048674583435,0.884452223777771,0.8041236996650696,0.6600441336631775
1,0.8114422559738159,0.9813552498817444,0.6507372856140137,0.8728642463684082,0.7565305233001709,0.8246259689331055,0.9857590198516846,0.5225685238838196,0.867024838924408,0.7916359901428223
2,0.8294395208358765,0.9851115345954895,0.5433719754219055,0.8845446705818176,0.7817329168319702,0.8449840545654297,0.9863928556442261,0.48227259516716003,0.8816834092140198,0.8170223236083984
3,0.8790470957756042,0.9923754930496216,0.36617156863212585,0.9104751944541931,0.8506254553794861,0.8706156611442566,0.9910938143730164,0.38378846645355225,0.899869978427887,0.8486632108688354
4,0.8382388949394226,0.9845086932182312,0.6082625985145569,0.8879709243774414,0.7941807508468628,0.19487367570400238,0.5766006708145142,1660.07177734375,0.19015121459960938,0.17427030205726624
5,0.8123006820678711,0.9818339347839355,0.6235811114311218,0.8716372847557068,0.7609455585479736,0.843757688999176,0.9887909889221191,0.4685507118701935,0.8853297233581543,0.8067206144332886
6,0.881346583366394,0.9931667447090149,0.35339635610580444,0.910942792892456,0.8555310368537903,0.8490311503410339,0.9869317412376404,0.4698047637939453,0.8752588033676147,0.8295314908027649
7,0.9006929397583008,0.9947167038917542,0.2962351143360138,0.9215943813323975,0.8811319470405579,0.8605592250823975,0.9862678050994873,0.4504156708717346,0.8837357759475708,0.8482953310012817
8,0.9213269352912903,0.9967578649520874,0.23156115412712097,0.936672031879425,0.9083272218704224,0.8695119023323059,0.9851959347724915,0.4571550786495209,0.8845180869102478,0.8576158881187439
9,0.9166973233222961,0.9959866404533386,0.24717271327972412,0.9332931637763977,0.9021032452583313,0.8428992033004761,0.9785428643226624,0.5779637098312378,0.8599720597267151,0.8307579159736633
