epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.3455052673816681,0.7911950349807739,7.930726051330566,0.6372318267822266,0.1575300395488739,0.4269070327281952,0.8567368388175964,1.770564317703247,0.6963159441947937,0.2572970390319824
1,0.5078489184379578,0.8956941366195679,1.5243998765945435,0.7694304585456848,0.29988348484039307,0.48148149251937866,0.8788982033729553,1.6345702409744263,0.7222566604614258,0.28574931621551514
2,0.5833946466445923,0.9271451234817505,1.2804725170135498,0.7936131358146667,0.4000183939933777,0.5208486914634705,0.8931328654289246,1.5719739198684692,0.6914514899253845,0.38091734051704407
3,0.6447755694389343,0.9474257230758667,1.0873538255691528,0.8153091073036194,0.4888705015182495,0.5079715251922607,0.8846668004989624,1.665885329246521,0.6616294384002686,0.37049299478530884
4,0.6895388960838318,0.9602023959159851,0.9439290165901184,0.8321091532707214,0.5592040419578552,0.5242825746536255,0.8858970999717712,1.8070673942565918,0.6183649301528931,0.44432181119918823
5,0.7257481217384338,0.9691858887672424,0.8257060647010803,0.8456045985221863,0.61727374792099,0.5226882696151733,0.8722835183143616,2.0253896713256836,0.6020340919494629,0.45008584856987
6,0.756070613861084,0.9755964279174805,0.7288437485694885,0.8533097505569458,0.665961503982544,0.5244051814079285,0.8675138354301453,2.1169307231903076,0.5993809103965759,0.4511896073818207
7,0.7726269364356995,0.978801429271698,0.6775853037834167,0.8577863574028015,0.6947817206382751,0.5327446460723877,0.8674136400222778,2.3383705615997314,0.5937076807022095,0.48368898034095764
8,0.7964189648628235,0.9827160239219666,0.6038153767585754,0.8707278370857239,0.7287834286689758,0.5334805250167847,0.8563213348388672,2.655994415283203,0.5829342603683472,0.4926416575908661
9,0.8101544976234436,0.9845175743103027,0.5657662749290466,0.8735861778259277,0.7506744861602783,0.5428010821342468,0.8592399954795837,2.673532009124756,0.5850574970245361,0.49938681721687317
